"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000002747","AY900001C","Oliver","Benjamin","Harris","1976-01-07","Innovative Finance","Yes","12321.97","6928.86","2025-11-18","2026-02-14","3323.04","2597.73","892.24","24134.67","2026-04-04","Cancelled","Transferred in full"
"ISA000002748","KW897046A","Poppy","Victoria","Baker","1992-06-04","Life Time ISA","Yes","10908.59","1630.89","2025-09-28","2026-04-03","9142.24","3756.10","744.99","11055.23","2026-04-04","Void","Closed"
"ISA000002749","EW437081D","Freya","Grace","Harris","1957-02-24","Stock and Shares","Yes","19092.93","14562.03","2026-02-04","2026-03-02","16580.18","1135.76","266.51","49081.62","2026-03-15","Closed","Closed"
"ISA000002750","JE790482D","Lucas","William","Clarke","1954-03-11","Cash","No","9370.01","10972.19","2025-04-11","2025-09-29","974.37","-1527.33","673.59","96221.08","2026-03-04","Cancelled","Void"
"ISA000002751","EZ735363C","Daisy","Louise","Phillips","1958-09-28","Innovative Finance","No","10505.06","16256.07","2025-09-05","2025-11-07","5294.86","-1806.64","597.31","25438.28","2026-03-31","Void","Void"
"ISA000002752","PR527895C","Arthur","Rose","Bailey","1951-01-25","Cash","No","12072.60","13860.41","2025-12-09","2026-01-20","13622.95","1111.13","472.72","26474.98","2026-03-24","Cancelled","Cancelled"
"ISA000002753","HP168066C","Oliver","Benjamin","Williams","2003-05-30","Innovative Finance","Yes","11520.34","949.26","2025-09-19","2026-04-01","15241.72","907.03","831.51","75462.77","2026-04-03","Closed","All funds withdrawn"
"ISA000002754","JP653837B","Finley","Elizabeth","Thomas","1975-04-07","Stock and Shares","No","12849.05","6911.68","2026-01-27","2026-02-02","6383.10","-1674.54","279.37","87010.13","2026-04-02","Closed","Void"
"ISA000002755","AL978959D","Henry","Grace","Foster","1975-11-17","Innovative Finance","Yes","11123.37","8659.90","2025-05-05","2025-09-02","1229.75","37.47","157.75","81640.62","2025-12-26","Void","Closed"
"ISA000002756","LZ401252D","Finley","Michael","Smith","2000-02-21","Stock and Shares","No","1570.00","4749.51","2025-04-29","2026-03-02","18048.29","1054.91","562.06","23635.88","2026-03-23","Cancelled","Cancelled"
"ISA000002757","PW867069D","Emily","Jane","Jones","2003-04-19","Innovative Finance","No","9590.71","15534.71","2025-05-20","2025-08-05","4479.67","63.48","795.04","33331.28","2026-03-22","Closed","Void"
"ISA000002758","EN596774B","Emily","Marie","Allen","1981-07-12","Cash","Yes","2952.70","17363.92","2025-07-20","2026-01-13","8446.09","2413.43","194.23","85340.56","2026-03-15","Void","Closed"
"ISA000002759","RP511573C","Poppy","Michael","Bennett","1970-04-19","Life Time ISA","Yes","15442.96","3780.64","2025-04-27","2025-07-19","17833.61","-2929.49","312.68","94066.54","2025-08-08","Void","All funds withdrawn"
"ISA000002760","AJ607349C","Edward","Ann","Edwards","1982-08-16","Cash","Yes","19893.01","7428.18","2026-02-01","2026-03-31","13098.26","3180.38","845.69","12718.63","2026-03-31","Void","All funds withdrawn"
"ISA000002761","LT621228D","Freya","Joseph","Scott","1970-02-10","Life Time ISA","Yes","14920.95","7279.11","2025-09-11","2026-03-22","2822.01","1522.93","-138.78","58542.90","2026-04-04","Void","Void"
"ISA000002762","RC453524D","Poppy","Alexander","Wilson","1950-06-02","Stock and Shares","Yes","7798.24","8051.75","2026-01-14","2026-02-02","7223.54","3091.74","179.88","28406.46","2026-03-05","Cancelled","Cancelled"
"ISA000002763","LC100030D","William","Claire","Brown","2003-05-19","Life Time ISA","No","1148.36","2499.45","2025-04-18","2025-05-06","2332.48","14.88","-483.06","74379.35","2025-08-04","Closed","All funds withdrawn"
"ISA000002764","MM793563A","James","Benjamin","Adams","1999-02-12","Stock and Shares","Yes","5720.55","8482.41","2025-08-06","2026-01-02","204.54","3589.01","125.49","23277.24","2026-04-02","Void","All funds withdrawn"
"ISA000002765","BP577936D","Oscar","Michael","Robinson","2003-07-26","Stock and Shares","Yes","17684.62","11114.30","2025-05-25","2025-08-06","676.56","3396.93","-279.05","77742.28","2025-11-15","Cancelled","Transferred in full"
"ISA000002766","KT742036C","Daisy","Joseph","Harris","1996-06-27","Innovative Finance","No","17849.53","7818.44","2025-05-06","2025-10-10","16840.42","56.69","594.97","67077.74","2026-03-12","Void","All funds withdrawn"
"ISA000002767","EB048328B","William","Jane","Lewis","1963-03-31","Cash","No","14938.13","8241.13","2025-08-04","2026-02-14","11585.25","2250.59","919.18","33002.85","2026-03-09","Closed","Cancelled"
"ISA000002768","HA135225B","Mia","David","Lewis","2001-08-24","Life Time ISA","No","12889.62","19449.05","2026-01-02","2026-01-05","15317.55","-1242.32","255.24","17056.57","2026-03-21","Cancelled","All funds withdrawn"
"ISA000002769","JR144424B","Ethan","Olivia","Hill","1947-08-31","Life Time ISA","Yes","16783.51","2188.81","2025-10-17","2025-10-23","11448.87","1453.88","508.13","84017.30","2026-03-15","Cancelled","Cancelled"
"ISA000002770","AH409053A","Emily","Michael","Bennett","1977-09-22","Innovative Finance","No","3767.38","2555.29","2025-05-21","2025-12-10","4027.70","692.56","377.07","82733.91","2025-12-17","Cancelled","All funds withdrawn"
"ISA000002771","AE556276A","Poppy","Elizabeth","Collins","1975-11-28","Cash","Yes","10878.42","16733.67","2026-02-02","2026-02-12","14364.03","1487.89","955.26","67649.09","2026-03-09","Closed","Transferred in full"
"ISA000002772","JS065563C","William","William","Hughes","1952-06-10","Cash","No","15039.66","2722.58","2026-02-04","2026-03-08","6688.85","2507.70","-229.66","90483.33","2026-04-02","Cancelled","Void"
"ISA000002773","WA565614B","William","Joseph","King","1967-09-01","Innovative Finance","No","14479.45","9243.86","2025-04-20","2025-05-10","892.79","2857.67","-460.90","47357.80","2025-05-18","Closed","Void"
"ISA000002774","HH140274B","Oliver","Joseph","Morris","1968-11-10","Stock and Shares","No","2280.14","393.57","2025-07-10","2025-12-04","117.06","1491.72","876.18","3944.65","2026-02-20","Closed","Void"
"ISA000002775","SL557850A","Amelia","William","Adams","1984-05-28","Life Time ISA","No","8835.08","18691.46","2025-06-20","2026-01-20","13147.94","2103.03","261.90","89720.94","2026-01-26","Closed","Closed"
"ISA000002776","LM142186C","Elsie","Michael","Bennett","1950-04-14","Cash","Yes","5015.46","6564.18","2025-09-09","2026-02-08","18619.98","-502.45","787.71","62682.61","2026-02-12","Void","Cancelled"
"ISA000002777","AM460371D","Evie","Alice","Baker","1958-03-12","Innovative Finance","Yes","12296.98","14067.94","2026-02-06","2026-02-26","3350.63","-3715.29","945.07","86539.70","2026-03-31","Closed","Transferred in full"
"ISA000002778","MX009520B","Emily","Marie","Bailey","1955-11-09","Innovative Finance","No","10124.20","11337.20","2025-12-27","2026-02-02","3048.73","-3376.08","-935.02","74356.89","2026-02-07","Void","Cancelled"
"ISA000002779","PE954425B","Jacob","Joseph","Lewis","1993-09-12","Cash","Yes","19517.56","9785.54","2025-10-22","2026-02-05","15396.64","1108.61","304.54","41144.29","2026-03-09","Closed","Closed"
"ISA000002780","AC184184D","Thomas","Olivia","Morris","1973-06-10","Life Time ISA","No","12153.86","1564.09","2025-08-31","2025-10-26","8131.84","2955.68","-461.98","20885.39","2026-03-15","Cancelled","All funds withdrawn"
"ISA000002781","KK073727D","Henry","Patrick","Scott","1961-03-07","Innovative Finance","Yes","14753.25","19465.81","2025-10-23","2026-02-25","6963.37","-2656.08","-125.54","13550.75","2026-03-01","Closed","Void"
"ISA000002782","PH964223C","Leo","Claire","Parker","1976-07-29","Life Time ISA","Yes","380.49","8964.99","2025-10-16","2025-10-28","6275.79","1488.97","435.10","48681.23","2025-11-28","Cancelled","All funds withdrawn"
"ISA000002783","SK577053C","Lucas","David","Taylor","1975-10-12","Stock and Shares","No","11298.45","1723.01","2025-11-09","2026-03-06","8971.39","3238.82","693.25","12353.74","2026-03-06","Void","Closed"
"ISA000002784","PA605383B","Isla","Ann","White","1945-08-23","Stock and Shares","Yes","6178.01","10604.39","2025-11-10","2026-01-07","618.97","3180.84","-172.53","65336.65","2026-01-16","Void","Closed"
"ISA000002785","AZ038636A","Henry","Jane","Carter","1978-07-25","Stock and Shares","No","17169.59","19964.38","2026-02-10","2026-03-08","19867.02","1469.78","166.96","22203.61","2026-03-30","Cancelled","Cancelled"
"ISA000002786","PX670657A","Logan","Rose","Brown","2004-05-20","Innovative Finance","No","12416.58","4585.61","2026-02-16","2026-02-17","19470.22","-2592.34","518.50","91989.72","2026-03-12","Closed","All funds withdrawn"
"ISA000002787","EH102274B","Oscar","Ann","Walker","1942-01-07","Innovative Finance","No","16960.29","7516.07","2025-12-02","2026-02-11","18248.34","1199.56","-311.07","28254.99","2026-02-11","Void","All funds withdrawn"
"ISA000002788","WT770241D","Daisy","Samuel","White","2005-11-29","Cash","No","14970.02","16854.12","2026-02-13","2026-03-20","2029.75","1894.40","163.71","36141.99","2026-03-27","Closed","Closed"
"ISA000002789","EZ891318B","Charlotte","Jane","Robinson","2005-05-19","Life Time ISA","No","3236.67","11869.00","2026-01-08","2026-02-09","15965.69","-3038.27","75.43","46849.79","2026-04-04","Void","All funds withdrawn"
"ISA000002790","AS577403D","Theo","Alexander","Adams","1986-01-13","Stock and Shares","No","19467.45","12271.56","2025-05-03","2025-12-14","9150.41","1047.21","-358.29","16625.76","2026-01-08","Void","All funds withdrawn"
"ISA000002791","SA606297A","Ruby","William","Murphy","1969-09-20","Life Time ISA","No","12122.81","8380.21","2025-10-22","2025-10-22","7615.87","-2526.64","315.00","43426.16","2026-02-04","Cancelled","Closed"
"ISA000002792","RA405251C","Olivia","Alexander","Hughes","1942-06-03","Innovative Finance","Yes","840.30","2624.46","2025-05-19","2026-01-20","10441.51","-1350.15","-431.46","81668.90","2026-02-15","Cancelled","All funds withdrawn"
"ISA000002793","LY343665A","Amelia","Michael","Hill","1968-08-27","Stock and Shares","Yes","3550.52","12690.30","2025-06-26","2025-11-02","19818.15","3283.32","976.75","12995.57","2026-02-23","Void","Void"
"ISA000002794","EN137214C","George","Marie","Robinson","2007-12-12","Life Time ISA","Yes","14220.03","19600.34","2025-09-26","2026-03-24","6838.97","2008.16","-812.13","59081.26","2026-04-04","Closed","Closed"
"ISA000002795","ME747310B","Leo","Alice","Foster","1974-01-09","Life Time ISA","No","14207.59","18764.69","2025-11-22","2025-12-15","18873.28","2645.44","961.25","1929.84","2026-01-07","Void","Transferred in full"
"ISA000002796","HJ270378A","Charlotte","William","Green","1965-06-12","Innovative Finance","Yes","5570.34","19080.21","2025-05-14","2025-11-15","685.89","1987.69","940.65","52016.67","2026-03-12","Closed","Closed"
"ISA000002797","CB131158D","Ruby","William","Bennett","1991-05-18","Cash","No","18323.40","6504.87","2025-07-20","2025-12-15","12426.35","-3071.11","111.05","71198.57","2026-03-29","Closed","Cancelled"
"ISA000002798","SM630762D","Amelia","Elizabeth","Mitchell","1947-01-30","Innovative Finance","Yes","18679.58","11700.25","2026-02-03","2026-03-19","9031.20","2474.21","674.33","38446.04","2026-04-01","Void","Transferred in full"
"ISA000002799","WE360046D","Ethan","Samuel","Murphy","1951-11-22","Cash","No","17936.05","3075.48","2025-06-10","2026-03-08","6347.60","2752.93","-12.60","39479.99","2026-03-22","Cancelled","Closed"
"ISA000002800","EJ050374B","George","Victoria","Thompson","1958-01-24","Life Time ISA","Yes","6641.88","5147.48","2025-12-07","2026-01-24","7357.57","364.05","-916.06","7061.46","2026-02-11","Cancelled","Closed"
"ISA000002801","BB005308A","Elsie","Patrick","White","2006-01-31","Innovative Finance","Yes","3650.07","17780.43","2025-12-24","2026-03-24","11206.25","58.65","525.56","64527.63","2026-04-01","Void","Transferred in full"
"ISA000002802","LN767484C","Finley","Thomas","Kelly","1973-11-16","Stock and Shares","No","10492.65","13449.41","2026-01-21","2026-03-11","1876.23","2682.10","984.63","36451.27","2026-03-27","Cancelled","Closed"
"ISA000002803","MW614422C","Ruby","Ann","Jones","2004-08-11","Stock and Shares","Yes","18818.99","15229.61","2025-04-18","2026-04-04","8229.85","3384.08","730.06","18147.42","2026-04-05","Void","Closed"
"ISA000002804","KS833845C","Elsie","Alexander","Young","1981-12-20","Life Time ISA","Yes","14513.89","9122.48","2025-10-28","2026-03-23","10183.86","1369.35","-306.08","90302.26","2026-03-26","Closed","Transferred in full"
"ISA000002805","RM282895C","Harry","Patrick","Green","1982-04-10","Cash","Yes","15193.96","3624.21","2025-09-25","2025-10-10","8983.69","-333.79","-32.09","4720.00","2026-02-10","Closed","Void"
"ISA000002806","KC167566C","James","Grace","Walker","1944-12-07","Stock and Shares","Yes","10030.13","3819.68","2025-12-12","2026-03-29","6963.64","1492.43","419.46","54964.51","2026-04-02","Closed","All funds withdrawn"
"ISA000002807","LN620244D","James","Louise","Young","1982-08-31","Life Time ISA","No","4312.34","2252.40","2025-04-06","2025-07-27","612.46","186.40","478.82","720.37","2026-03-07","Void","Void"
"ISA000002808","CR625965B","Lucas","Benjamin","Clarke","1995-10-24","Life Time ISA","No","14990.01","316.86","2025-07-17","2026-03-02","8510.04","1291.47","215.95","57117.95","2026-03-31","Closed","Void"
"ISA000002809","HL755525A","Thomas","William","Wilson","1948-10-24","Life Time ISA","No","8728.64","12550.45","2025-09-11","2026-03-29","10162.05","1995.83","949.04","22146.61","2026-03-31","Closed","All funds withdrawn"
"ISA000002810","HT996742B","Elsie","Claire","Young","1944-05-25","Life Time ISA","Yes","7983.27","18036.02","2025-04-23","2026-03-11","14477.40","318.22","605.17","8052.39","2026-04-01","Void","Void"
"ISA000002811","BE708123B","Daisy","Jane","Wilson","1944-07-10","Life Time ISA","Yes","11106.26","12346.45","2025-06-28","2026-03-25","5759.34","3468.36","107.97","39452.05","2026-03-30","Cancelled","Closed"
"ISA000002812","AC582044B","Jacob","Marie","Allen","1984-08-17","Life Time ISA","Yes","17642.51","15140.49","2025-10-04","2025-12-14","19368.04","3362.83","404.94","13899.33","2026-01-12","Closed","Closed"
"ISA000002813","SR129207A","Arthur","Patrick","Phillips","1974-05-11","Cash","Yes","16413.92","17069.57","2025-10-27","2025-10-27","8396.82","2490.26","35.66","42017.80","2026-02-09","Void","All funds withdrawn"
"ISA000002814","PL876538B","Noah","Victoria","Mitchell","1976-06-30","Life Time ISA","Yes","6684.68","8084.18","2025-04-28","2025-11-10","5338.82","-37.88","667.92","26640.34","2026-03-16","Closed","Closed"
"ISA000002815","AY244866B","Theo","Benjamin","Collins","1977-09-20","Innovative Finance","No","2356.87","5993.52","2025-06-10","2025-12-13","1256.56","1384.07","430.73","17898.00","2026-03-11","Void","Transferred in full"
"ISA000002816","WW698579D","Grace","Victoria","White","1968-06-20","Cash","Yes","4968.17","18052.54","2025-06-12","2026-03-15","13868.96","-458.03","571.46","95118.64","2026-03-22","Void","Transferred in full"
"ISA000002817","PP599091D","Ruby","Claire","Lewis","1962-08-01","Life Time ISA","No","1002.21","17042.95","2025-08-05","2026-04-03","15249.54","3673.87","-956.44","73194.39","2026-04-04","Void","Void"
"ISA000002818","MX479708D","Isla","Claire","Parker","1995-07-10","Life Time ISA","No","19903.88","15115.84","2025-04-30","2025-05-28","16821.51","1571.75","978.71","3213.44","2025-11-01","Cancelled","Transferred in full"
"ISA000002819","KA634206D","Theo","David","Walker","1982-02-13","Life Time ISA","No","19966.93","16362.75","2026-02-08","2026-02-26","15738.65","1089.17","-668.15","51051.18","2026-03-29","Closed","Transferred in full"
"ISA000002820","PS066863A","Olivia","Victoria","Hall","1957-07-14","Innovative Finance","No","7285.71","9206.18","2026-01-27","2026-03-05","9361.24","3366.74","259.40","39270.91","2026-03-07","Void","All funds withdrawn"
"ISA000002821","PR515117B","Logan","Samuel","Johnson","1950-01-02","Innovative Finance","No","11152.94","10132.01","2025-11-07","2026-02-19","2627.97","1060.97","-692.23","27586.62","2026-03-14","Cancelled","Cancelled"
"ISA000002822","BM187896B","George","David","Adams","1945-05-03","Cash","No","17508.68","18861.38","2025-10-14","2026-02-14","13970.07","-1426.96","71.65","19398.93","2026-03-24","Void","Closed"
"ISA000002823","PM397976C","Oscar","Claire","Murphy","2002-04-02","Cash","Yes","1208.87","2536.00","2026-02-14","2026-03-11","5230.82","311.61","125.68","40476.88","2026-04-04","Closed","Closed"
"ISA000002824","AX424522A","Sophia","William","Murphy","1948-12-31","Cash","No","8629.24","16086.55","2025-05-13","2025-09-06","4995.06","1534.32","172.45","61704.85","2026-02-25","Cancelled","All funds withdrawn"
"ISA000002825","WT433062B","Poppy","Victoria","Jackson","1944-01-11","Cash","Yes","5553.48","9073.08","2025-05-29","2025-09-23","812.70","-591.42","832.59","20519.21","2025-11-30","Closed","Void"
"ISA000002826","LH277163B","William","Thomas","Collins","1968-12-07","Life Time ISA","Yes","8163.05","9808.86","2025-06-11","2025-11-10","2677.53","2261.28","596.11","8023.31","2026-03-13","Void","Void"
"ISA000002827","MB417863C","Oscar","Louise","Foster","1945-12-09","Stock and Shares","No","5495.68","15301.76","2025-12-12","2026-04-02","10909.89","-1185.11","251.70","80357.78","2026-04-05","Closed","Void"
"ISA000002828","BX070748A","Ethan","Victoria","Miller","1998-12-17","Cash","Yes","4808.40","18815.00","2025-06-12","2025-10-07","3457.48","3618.46","85.72","37893.52","2026-01-13","Cancelled","All funds withdrawn"
"ISA000002829","MJ396389B","Jack","William","Foster","1960-11-09","Life Time ISA","No","10844.06","8061.48","2025-05-06","2025-08-14","1359.57","-3877.97","566.05","86986.43","2025-11-12","Cancelled","All funds withdrawn"
"ISA000002830","RP700554A","Freya","Patrick","Phillips","1974-01-18","Life Time ISA","No","11090.33","18095.95","2025-08-21","2025-11-16","16450.97","2134.79","-579.35","34392.22","2025-12-22","Closed","Transferred in full"
"ISA000002831","JX035448C","Emily","Thomas","Scott","1997-05-25","Stock and Shares","Yes","12463.96","10743.52","2025-06-05","2026-02-24","18363.35","-2002.45","446.03","44813.37","2026-02-24","Void","All funds withdrawn"
"ISA000002832","AK432129B","Charlotte","Louise","Green","1995-05-23","Innovative Finance","No","18356.22","14757.45","2025-04-08","2026-03-09","15044.65","-3258.25","-966.69","47419.14","2026-03-30","Closed","Closed"
"ISA000002833","RH508195C","Grace","Michael","Allen","1976-06-13","Stock and Shares","Yes","3618.17","4965.91","2025-04-16","2025-10-17","12632.00","2299.44","682.41","81982.88","2025-11-08","Cancelled","Closed"
"ISA000002834","EA393444D","James","Ann","Young","1992-09-13","Cash","No","8855.35","2235.69","2025-05-06","2025-06-19","5482.74","-2766.84","945.53","89657.35","2026-02-21","Closed","All funds withdrawn"
"ISA000002835","KZ045533D","Theo","Marie","Collins","2002-04-26","Stock and Shares","Yes","15881.78","17051.90","2025-11-10","2026-02-03","9491.12","2597.16","839.11","44003.00","2026-02-10","Void","All funds withdrawn"
"ISA000002836","BT323946A","Evie","William","Walker","1964-12-07","Cash","Yes","13913.01","888.54","2025-04-06","2025-10-19","18333.51","2699.56","650.40","15653.84","2026-01-13","Void","Cancelled"
"ISA000002837","ES625090D","George","Ann","Morris","1972-06-17","Innovative Finance","No","16080.37","13902.84","2025-12-09","2026-03-14","18489.61","-1469.59","52.24","84817.40","2026-03-26","Closed","Transferred in full"
"ISA000002838","WR391758B","Finley","Alice","Kelly","1955-07-31","Life Time ISA","Yes","13068.56","12532.34","2025-08-18","2025-10-02","8328.55","-3841.78","137.83","72004.68","2025-12-25","Void","Cancelled"
"ISA000002839","RJ826775A","Freya","Rose","Williams","1986-01-16","Innovative Finance","No","14688.30","6970.36","2025-07-22","2025-09-18","13135.76","3648.61","62.75","46167.47","2025-11-26","Cancelled","Closed"
"ISA000002840","WP689757A","Logan","Grace","Jones","1988-01-16","Cash","No","5643.92","607.63","2025-10-22","2025-12-28","5755.68","1582.19","-945.26","32904.72","2026-02-14","Closed","Closed"
"ISA000002841","KH000109A","Evie","Victoria","Hill","1984-08-14","Cash","No","3419.44","14888.20","2026-02-17","2026-02-24","1443.03","3554.46","192.41","25139.74","2026-03-28","Cancelled","Transferred in full"
"ISA000002842","WH063176C","Theo","Thomas","Young","1962-07-19","Life Time ISA","No","8454.94","2431.16","2025-05-20","2025-07-25","2898.19","796.03","-431.22","92481.47","2026-03-21","Void","Cancelled"
"ISA000002843","CS040538D","Isla","Samuel","White","1956-02-13","Life Time ISA","No","2083.27","17558.22","2025-06-29","2026-03-23","8817.02","-1678.64","81.07","15447.99","2026-03-27","Void","All funds withdrawn"
"ISA000002844","KK818473A","Edward","Joseph","Murphy","1969-09-25","Life Time ISA","No","15048.96","17233.63","2025-05-20","2025-05-26","3721.30","2612.60","-709.68","99138.84","2026-03-12","Cancelled","Transferred in full"
"ISA000002845","PN997283C","Edward","Benjamin","Jones","1954-08-07","Cash","Yes","16253.77","8253.67","2025-12-22","2026-01-06","8168.59","3908.06","920.77","93294.76","2026-03-16","Void","All funds withdrawn"
"ISA000002846","ET725604B","Isla","Samuel","White","1992-01-16","Life Time ISA","Yes","18763.80","16742.35","2025-09-17","2026-01-03","9650.24","3798.45","-153.37","4455.31","2026-01-11","Void","Transferred in full"
"ISA000002847","HM592607C","Charlotte","Victoria","Hughes","2005-09-14","Stock and Shares","No","10211.38","9912.34","2025-06-26","2025-10-04","14682.97","2372.68","900.83","97764.88","2025-12-01","Cancelled","All funds withdrawn"
"ISA000002848","WS808266C","Ethan","Rose","Roberts","2007-10-14","Stock and Shares","Yes","2167.94","11661.60","2025-11-03","2025-12-31","5939.31","-2329.89","19.79","83552.76","2026-01-16","Void","All funds withdrawn"
"ISA000002849","PX070096B","Ethan","Victoria","Thompson","1959-11-19","Innovative Finance","Yes","16393.82","5985.40","2025-10-10","2025-12-16","8520.59","2880.00","721.02","55883.86","2026-01-23","Cancelled","Closed"
"ISA000002850","CH012145B","Hannah","Victoria","Wilson","1947-03-27","Innovative Finance","No","3938.54","15520.49","2025-12-27","2026-02-27","18965.20","369.66","579.38","85503.94","2026-03-23","Cancelled","All funds withdrawn"
"ISA000002851","SN912275A","Oscar","Elizabeth","Thompson","1996-06-04","Innovative Finance","Yes","1083.87","14320.83","2025-06-17","2026-03-15","7440.66","128.46","242.04","47979.89","2026-03-26","Void","Void"
"ISA000002852","HH605076D","Hannah","Olivia","Wilson","1946-07-13","Cash","Yes","11167.25","1231.27","2025-12-17","2026-03-25","1640.43","3755.11","271.35","99193.83","2026-03-31","Void","Transferred in full"
"ISA000002853","WA334482D","Edward","Benjamin","Adams","1972-04-16","Life Time ISA","Yes","14041.41","14920.76","2025-08-17","2026-01-11","13866.82","788.63","95.90","3628.89","2026-02-27","Cancelled","All funds withdrawn"
"ISA000002854","BM473549B","Ruby","Alexander","Parker","1970-06-30","Life Time ISA","Yes","9265.67","15130.20","2025-10-01","2026-01-12","8730.44","-149.63","980.72","27776.76","2026-02-24","Void","Void"
"ISA000002855","CA438450C","George","William","Jackson","1960-06-28","Stock and Shares","Yes","5146.73","1772.01","2025-10-28","2026-01-05","18811.52","-1854.97","545.95","52956.23","2026-04-02","Closed","Void"
"ISA000002856","LZ387841B","Ava","Alice","Hill","1973-05-26","Stock and Shares","No","4772.66","7412.32","2025-10-30","2025-12-15","13652.31","3410.14","11.69","89893.22","2026-03-19","Closed","Void"
"ISA000002857","KC291764C","Noah","Rose","Harris","1956-04-23","Cash","No","7499.29","7184.74","2025-10-25","2025-11-14","12539.04","-226.47","345.49","59157.38","2026-03-14","Cancelled","Cancelled"
"ISA000002858","RH939098A","Charlotte","Alice","Roberts","1970-04-01","Cash","Yes","13918.55","13229.05","2026-02-02","2026-03-19","5978.28","387.35","285.70","16424.29","2026-03-22","Closed","Closed"
"ISA000002859","LL196219B","Daniel","Joseph","Edwards","1955-11-17","Cash","Yes","18415.93","12571.58","2025-08-01","2025-12-25","19757.92","3482.08","638.36","89633.53","2026-04-05","Cancelled","Void"
"ISA000002860","RJ508274A","William","Patrick","Wright","1956-12-27","Life Time ISA","Yes","18686.72","2264.56","2025-12-18","2026-02-25","6183.10","-1961.17","774.81","75728.71","2026-03-02","Cancelled","Cancelled"
"ISA000002861","JB883374C","Oscar","Olivia","Miller","1998-11-17","Innovative Finance","No","14403.65","8993.83","2025-06-27","2026-03-05","4352.75","3738.70","120.48","67564.23","2026-03-26","Closed","Transferred in full"
"ISA000002862","WJ333227A","Lucas","Alexander","Adams","1969-11-28","Life Time ISA","No","12826.68","5097.09","2025-07-02","2026-01-20","10408.47","-3399.45","788.57","54434.25","2026-03-10","Void","Cancelled"
"ISA000002863","MT862387A","Amelia","William","Walker","1940-05-24","Life Time ISA","Yes","7208.56","659.61","2025-04-11","2025-06-11","13097.55","-351.50","268.29","92952.83","2026-01-19","Void","All funds withdrawn"
"ISA000002864","LW121705C","Sophia","Louise","Baker","1962-07-15","Cash","Yes","15967.45","198.83","2026-01-04","2026-03-23","1476.66","-1538.16","393.42","97568.35","2026-03-23","Cancelled","All funds withdrawn"
"ISA000002865","CN175788C","Lily","Claire","Phillips","1966-07-07","Life Time ISA","No","13287.63","1947.67","2025-06-05","2025-07-20","9344.17","1356.85","508.24","97032.22","2026-01-07","Cancelled","Closed"
"ISA000002866","MZ165268C","Noah","Samuel","Harris","1977-03-29","Life Time ISA","Yes","10948.44","13405.64","2025-04-15","2025-08-03","2309.13","3264.45","148.96","91121.93","2025-11-14","Closed","Cancelled"
"ISA000002867","MC842965A","Leo","Alexander","Murphy","1950-08-27","Cash","Yes","17719.61","16220.55","2025-06-09","2025-11-01","5126.92","2775.07","683.22","91680.13","2025-12-24","Cancelled","Closed"
"ISA000002868","KR025481A","Mia","Thomas","Bailey","1940-01-21","Life Time ISA","Yes","454.74","14413.83","2025-05-28","2025-10-25","5986.97","-3041.99","141.67","48512.59","2026-03-13","Closed","Transferred in full"
"ISA000002869","RR343869A","Noah","Jane","Davies","2001-06-09","Innovative Finance","Yes","7748.57","649.10","2026-02-09","2026-03-12","8256.33","339.17","-134.31","40448.79","2026-03-18","Closed","All funds withdrawn"
"ISA000002870","RM450217B","Emily","Claire","Walker","1965-02-09","Innovative Finance","No","11964.04","5139.63","2025-10-03","2026-01-14","3091.66","3850.23","-287.37","28763.77","2026-02-13","Void","All funds withdrawn"
"ISA000002871","WM812308B","Poppy","Joseph","Allen","1959-11-05","Innovative Finance","No","16597.19","11105.08","2025-10-10","2026-01-10","16491.70","3026.78","599.07","75626.36","2026-02-16","Cancelled","Transferred in full"
"ISA000002872","MX551868C","Arthur","Alice","Adams","1975-05-27","Innovative Finance","No","7583.50","2660.93","2025-06-22","2026-01-05","11827.95","2577.34","594.94","91680.70","2026-01-25","Cancelled","Cancelled"
"ISA000002873","ML351294A","Freya","Marie","Hughes","1954-02-22","Cash","No","13811.46","5943.82","2025-08-17","2025-11-23","8061.88","3125.04","-526.64","34397.55","2026-02-25","Void","Void"
"ISA000002874","ES049145D","Harry","Ann","Morris","1942-05-24","Life Time ISA","Yes","11089.48","18499.85","2025-10-07","2025-11-30","6109.32","2961.08","-977.61","16013.95","2026-03-30","Closed","Cancelled"
"ISA000002875","JN299811B","Arthur","Alice","Johnson","1948-02-24","Life Time ISA","No","5414.43","7519.19","2025-09-07","2025-10-08","5758.68","2094.02","899.00","91516.16","2025-12-10","Closed","Void"
"ISA000002876","LK069987A","Noah","Patrick","Brown","1961-11-08","Cash","No","2590.39","3134.50","2025-06-13","2026-02-10","11807.44","747.11","955.01","33487.92","2026-03-17","Closed","Transferred in full"
"ISA000002877","AW730083B","Elsie","David","Johnson","1957-08-09","Stock and Shares","No","155.62","2123.16","2025-08-17","2026-03-03","2593.69","2436.31","81.27","55880.60","2026-03-19","Void","Closed"
